Price,Close,High,Low,Open,Volume,EMA_20,EMA_50,EMA_100,EMA_200
Ticker,FORCEMOT.NS,FORCEMOT.NS,FORCEMOT.NS,FORCEMOT.NS,FORCEMOT.NS,,,,
Date,,,,,,,,,
2019-09-05,1159.4000244140625,1175.2278219401214,1148.6545547835435,1159.6903722479385,17011,1202.5404502990268,1230.5731058923975,1244.3881617628888,1252.459145543197
2019-09-06,1173.823974609375,1223.4371668704869,1149.0899358817542,1166.515057066145,55574,1199.8055478523934,1228.3476497636516,1242.9908511261856,1251.676706031418
2019-09-09,1159.109619140625,1168.4514459676627,1148.1221333203382,1168.4029955736348,18248,1195.9297451179393,1225.6324328764742,1241.329836631422,1250.7556404902161
2019-09-11,1198.993896484375,1211.5787094025486,1143.2818504894738,1161.6750386006506,46916,1196.2215690576,1224.5877843905096,1240.4915011829657,1250.2405982613022
2019-09-12,1183.622802734375,1263.8452076433243,1176.0104055677266,1205.1911025284458,32636,1195.0216865506263,1222.9813145216415,1239.3653883423995,1249.5777346242185
2019-09-13,1168.6419677734375,1194.553281458503,1163.811101420968,1180.8900903307097,19322,1192.5093323813703,1220.8503597472022,1237.9649245687567,1248.772403610778
2019-09-16,1156.344970703125,1176.0102277996816,1151.6116753557048,1161.3710963332956,25460,1189.0651074596328,1218.3207366474346,1236.348687858546,1247.852727661448
2019-09-17,1150.8310546875,1206.2157774299083,1146.7321448868665,1166.2509899062175,39914,1185.423769100382,1215.6740824529275,1234.6552693799115,1246.8873378806127
2019-09-18,1128.4820556640625,1169.0812288737936,1118.5273733720974,1154.5396657239287,16772,1180.0007487731134,1212.2547872847367,1232.55282950435,1245.7091758685078
2019-09-19,1104.961669921875,1156.4914638109271,1095.9830496706086,1134.8255954334647,15603,1172.8541698349002,1208.0472140548206,1230.0262718888555,1244.3087031725213
2019-09-20,1167.568359375,1239.446522059744,1098.569297493288,1106.767235324175,119057,1172.3507593149097,1206.4598079889454,1228.7894815420464,1243.5451176620984
2019-09-23,1174.1558837890625,1226.2712142957519,1169.1786030452135,1184.6472610701444,48369,1172.5226759314958,1205.1929874320874,1227.7076281211953,1242.8546775240584
2019-09-24,1185.818603515625,1217.9758509658227,1179.9141056231408,1182.7930874251217,29373,1173.7889547490317,1204.4332076706576,1226.8781424854415,1242.2871543995964
2019-09-25,1150.4893798828125,1186.550513811156,1143.462644055126,1186.550513811156,17576,1171.5699476189156,1202.3177634436831,1225.3654937210329,1241.3737437078871
2019-09-26,1156.442626953125,1173.082488608865,1149.6598765234967,1155.515529544839,16302,1170.12925041265,1200.5187384832693,1224.000684478104,1240.528657969034
2019-09-27,1130.677734375,1177.9132353197858,1122.3333820118385,1154.5394703652216,17007,1166.3719631709691,1197.7798755770625,1222.1527052681415,1239.435613953173
2019-09-30,1094.323974609375,1142.1938653313148,1083.8813221799567,1130.1898484305034,13534,1159.510249974627,1193.7227814214668,1219.6214432748986,1237.9917170442798
2019-10-01,1067.534423828125,1107.694471900392,1058.6045282675868,1091.2010237784198,17780,1150.7506474844838,1188.7742183785906,1216.6098191274377,1236.2956245744674
2019-10-03,1057.5797119140625,1075.488226154441,1048.1618465425315,1065.7288048644734,11517,1141.8772250492057,1183.6293357721386,1213.4607080935093,1234.5173567868019
2019-10-04,1075.7322998046875,1102.7658513389117,1053.9687408918858,1064.7529499541067,23343,1135.5777083592516,1179.3980794596896,1210.7334128798693,1232.9374059710597
2019-10-07,1054.9447021484375,1084.2718137100455,1049.1378935538244,1072.2676766699076,9958,1127.898374434412,1174.5175548592483,1207.6484879148904,1231.1663342912327
2019-10-09,1066.753662109375,1083.2958346334585,1048.1619156723734,1064.7529329595525,12638,1122.0750684986942,1170.2915198494495,1204.8584913642862,1229.5303873043486
2019-10-10,1067.8758544921875,1080.3191169235133,1056.3598085849026,1070.559695408748,14644,1116.9132385933126,1166.275219247204,1202.1459639014724,1227.9218844902973
2019-10-11,1059.6781005859375,1078.4161433877534,1054.9935303186983,1071.584547909279,12582,1111.4622730688006,1162.094940084017,1199.3248180932442,1226.2478169887615
2019-10-14,1061.141845703125,1073.5362621674558,1053.090323736869,1063.7279968460507,10367,1106.6698514149268,1158.135995206335,1196.5885216102715,1224.6049715033323
2019-10-15,1064.5577392578125,1073.5363593370244,1051.0896900054322,1056.55494218989,18546,1102.6591740666302,1154.4662596789422,1193.974050672599,1223.0124617297452
2019-10-16,1062.8499755859375,1078.4162071212704,1058.5558057761148,1068.6567844323902,13261,1098.8678218303737,1150.8734642243144,1191.3775343342493,1221.4188051511999
