Price,Close,High,Low,Open,Volume,EMA_20,EMA_50,EMA_100,EMA_200
Ticker,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,,,,
Date,,,,,,,,,
2000-01-03,32.7281608581543,32.80366013462573,31.316359255230196,31.316359255230196,3528277,32.7281608581543,32.7281608581543,32.7281608581543,32.7281608581543
2000-01-04,31.437164306640625,33.067910651210674,31.104974011871523,32.76591947414786,3544397,32.60520880562919,32.67753354240866,32.70259657000551,32.715315121323314
2000-01-05,32.19968795776367,32.88671408959064,29.293031308427615,29.293031308427615,5849540,32.56658777249914,32.658794499873565,32.692637983624486,32.710184502780436
2000-01-06,33.5359992980957,34.71375901141431,32.46393200012815,32.46393200012815,10274966,32.65891267969881,32.69319468803914,32.70933820767342,32.718401565420386
2000-01-07,36.22370529174805,36.22370529174805,33.68698839612512,33.82288593006975,11477451,32.99841673798921,32.83164608426302,32.77892963508084,32.75328020946345
2000-01-10,39.085052490234375,39.12280213005412,37.44675599493467,39.10770107181266,8978430,33.57809633344113,33.07687770802661,32.903803354984866,32.81628291872485
2000-01-11,35.95946502685547,39.25870751411182,35.95946502685547,39.25870751411182,6303356,33.804893351861544,33.18992034798068,32.964311506903094,32.847558362586845
2000-01-12,36.27654266357422,37.144766307651864,34.57785102519427,36.23879603115014,4897855,34.04028852440561,33.3109643603569,33.029900242678764,32.88167760936284
2000-01-13,35.55176544189453,36.99376909400582,34.97043486628857,36.6917780135156,2952315,34.1842387070236,33.39883891257406,33.07983816741571,32.90824564749748
2000-01-14,36.095359802246094,36.69178860108682,35.18183877450052,35.47627941149467,5347397,34.36625023990194,33.5045848298161,33.139551467115325,32.939958226151695
2000-01-17,37.846900939941406,38.97181582612904,36.68424241654373,36.68424241654373,7738816,34.69774078276284,33.674871736095525,33.23276630816139,32.98878352678642
2000-01-18,37.44675827026367,38.12623679938582,37.001325117617796,37.89974495827313,4134762,34.95955197204864,33.822788855082514,33.316211693549555,33.03314148443297
2000-01-19,37.824249267578125,38.94161353170706,36.631388717833715,37.899748558977954,6371852,35.23238028590859,33.979708871258815,33.4054797643224,33.08081419869312
2000-01-20,35.58952713012695,37.74875657235552,35.272437891127716,37.74875657235552,2911586,35.266394271072244,34.042838999057565,33.4487282270116,33.105776516418835
2000-01-21,35.06103515625,35.302628041078535,34.04936945970634,34.743945997804495,3633756,35.246836260136796,34.082768260123935,33.48065509689751,33.1252318262679
2000-01-24,32.26008224487305,35.619722530661356,32.26008224487305,34.72885013741288,5871546,34.962383496778344,34.01129037717293,33.45648533745148,33.11662337272168
2000-01-25,29.685619354248047,30.938878140162736,29.685619354248047,30.25184901324857,3684802,34.45983453082307,33.84165621941116,33.3818147239227,33.08248402925429
2000-01-26,29.685619354248047,29.685619354248047,29.685619354248047,29.685619354248047,0,34.00514737114926,33.67867438156163,33.308622736404395,33.048684380746764
2000-01-27,27.31499481201172,29.142036693550768,27.31499481201172,28.689049985232913,9020093,33.36798998456474,33.42911832001065,33.18993703493127,32.99163274324692
2000-01-28,26.454330444335938,27.481097538548838,25.420012818529777,25.820151917769245,13942903,32.70954621882866,33.155597226846936,33.05655868660265,32.92658495917816
2000-01-31,27.133806228637695,28.492760496989472,25.676704077512166,25.842797719943555,14875954,32.17852336262,32.919448560250494,32.939276459712254,32.86894536981955
2000-02-01,26.469423294067383,27.918974785540875,25.986240465504313,27.16399992515742,6294485,31.63479954656737,32.666506392949195,32.81116055544206,32.8052685332449
2000-02-02,27.19420051574707,28.22096746367784,26.929962005477382,27.78308178042681,4676810,31.21188535315591,32.451906162470685,32.69993362396295,32.74943701068273
