Price,Close,High,Low,Open,Volume,EMA_20,EMA_50
Ticker,JMFINANCIL.NS,JMFINANCIL.NS,JMFINANCIL.NS,JMFINANCIL.NS,JMFINANCIL.NS,,
Date,,,,,,,
2006-10-10,21.337852478027344,21.837667847997782,19.88246667009717,21.837667847997782,24800,21.337852478027344,21.337852478027344
2006-10-11,21.02942657470703,21.746792481194685,20.6549100658491,21.39705972823828,18500,21.30847858247303,21.3257573445638
2006-10-12,21.090009689331055,22.581193580564502,21.05283274490521,22.581193580564502,8675,21.28767202122141,21.316512338476244
2006-10-13,20.937170028686523,21.479669432309667,20.928907903233355,20.985361383443564,13225,21.25429087907523,21.30163616946488
2006-10-16,20.759557723999023,21.755058917674923,20.350617791926304,21.755058917674923,54125,21.20717343573464,21.28037819121132
2006-10-17,20.104148864746094,21.037689179557137,19.965081973145065,20.65491053463365,17125,21.102123476592872,21.23425155095778
2006-10-18,19.91413688659668,21.479674800273038,19.63462564603754,21.479674800273038,25100,20.988981896593234,21.182482348433815
2006-10-19,19.846664428710938,21.479671303153303,19.832896406949708,21.479671303153303,2450,20.88018975679492,21.130097331974095
2006-10-20,20.234952926635742,20.380904472300177,20.020156014952352,20.153715683618927,22725,20.818738630113096,21.094993629803962
2006-10-23,20.247343063354492,21.066600091020195,19.993993083624044,21.066600091020195,4975,20.764320004707514,21.061752431119668
2006-10-26,20.072473526000977,20.653525961850015,19.995367365234383,20.267993844901245,4950,20.69842986387832,21.022957179938544
2006-10-27,20.244590759277344,20.653530570019367,20.188137271482702,20.62599189896361,2125,20.65520709201156,20.99243300657928
2006-10-30,21.830781936645508,22.096525131675946,20.65353128376657,20.65353128376657,521525,20.767166601024314,21.025309435209326
2006-10-31,21.2359619140625,22.030433977146444,21.204292177756976,21.782591174706365,170175,20.811813773694617,21.03357031673298
2006-11-01,21.263500213623047,23.352259787422565,20.435982231886193,21.781215991731823,28475,20.854831529878275,21.042587175434555
2006-11-02,21.10515785217285,21.69997984673878,20.84767675239589,21.69997984673878,47750,20.87867213200157,21.045040927463507
2006-11-03,20.792600631713867,21.121680710442604,20.44699892355867,20.44699892355867,33950,20.87047484625988,21.035141308022347
2006-11-06,21.215309143066406,21.724762800836523,20.488304947627267,20.488304947627267,58925,20.903316207860502,21.04220671331819
2006-11-07,22.089641571044922,22.608734827712738,21.397060702054507,21.449383134108988,259775,21.016299575782828,21.08328259009179
2006-11-08,21.649028778076172,22.030431206616704,21.28690420591803,21.482424556004887,126575,21.076559499810767,21.105468715110785
2006-11-09,22.52061653137207,23.40734042311278,21.341986856367537,23.40734042311278,584875,21.214088740911844,21.160964707905347
2006-11-10,23.463790893554688,24.343631315282174,22.58119555390471,22.58119555390471,441525,21.42834608878259,21.2512716171465
2006-11-13,22.9254207611084,23.95809739562889,22.312699711490104,22.312699711490104,95000,21.570924629004093,21.31692452475285
2006-11-14,21.896879196166992,23.214575831351347,21.892748131705545,22.1681296684497,69700,21.60196792111485,21.339667845200466
2006-11-15,22.72301483154297,23.076878615489104,21.895496932669,22.057971416182767,205925,21.708734293536576,21.393916746625663
2006-11-16,22.077255249023438,24.784245019945438,21.949202749154036,24.784245019945438,176775,21.74383152739247,21.420714334954987
2006-11-17,22.103412628173828,22.443507149870573,21.617366531592058,22.113050902559166,120925,21.778077346514504,21.447486817042
2006-11-20,21.70686149597168,22.495825001926963,21.066601826576477,22.495825001926963,45875,21.771294884558046,21.45765837307846
2006-11-21,22.195661544799805,22.2438529050253,21.618738741516065,21.618738741516065,5875,21.81171075696202,21.486599673930275
2006-11-22,22.315454483032227,22.526120347014036,22.1447178575562,22.195664141282425,47825,21.85968634992109,21.519103784091136
2006-11-23,22.091022491455078,24.756703988771154,21.782595078892875,24.756703988771154,9125,21.881718363400516,21.541531968693644
2006-11-24,21.336475372314453,22.02905617368925,21.231830518421805,21.8101295063256,55950,21.829790459487555,21.533490533541517
2006-11-27,21.205665588378906,23.104414168232907,20.92890802023732,23.104414168232907,14600,21.770349995572445,21.520634653339062
2006-11-28,21.394304275512695,21.755052729440724,21.066601702009788,21.755052729440724,20025,21.734536117471517,21.515680520875282
2006-11-29,21.17950439453125,22.579813861000435,21.06659874651538,22.579813861000435,8200,21.68167595338197,21.502497143371595
2006-11-30,20.89586639404297,21.479673920692235,20.791222850325386,21.479673920692235,12850,21.606836947730635,21.478707702221453
2006-12-01,21.207050323486328,22.030437330435202,20.853186465885937,20.853186465885937,23450,21.56876203113594,21.46805447168282
2006-12-04,20.71962547302246,21.20429407645503,20.681072378189164,21.20429407645503,34575,21.48789188274418,21.43870431487261
2006-12-05,21.580184936523438,22.443500954943108,20.68106812242133,20.68106812242133,58275,21.496681697389825,21.444252574545192
2006-12-06,20.919273376464844,21.75505343406272,20.818759586233973,21.57743214930376,13925,21.441690428730304,21.42366515501263
2006-12-07,22.461402893066406,23.269644254010647,20.102770571231876,20.928911018128723,282825,21.53880590152422,21.464360752583367
2006-12-08,21.646282196044922,22.55366010887039,21.48518513032648,22.168129118472905,56675,21.54904173909762,21.471494926836762
2006-12-11,21.090009689331055,21.756429266385343,20.653531194339294,21.75505312066062,48575,21.505324401024616,21.45653472144438
2006-12-12,20.659042358398438,21.88999312676645,20.240464182625427,21.31444764265991,75700,21.424726111250695,21.425260511128855
2006-12-13,21.215309143066406,21.47416637917185,20.111033512723466,20.9289132325925,76475,21.404781638090284,21.417027124146014
2006-12-14,21.814266204833984,21.892748552410765,21.814266204833984,21.892748552410765,20325,21.44378016825635,21.432605127310246
2006-12-15,22.27138900756836,22.718883212241746,22.03043220581018,22.03043220581018,106925,21.522600057714637,21.465498612810567
2006-12-18,22.057973861694336,22.22320065490973,21.812884650443475,22.030435187414263,6700,21.573588039046037,21.488732936296206
2006-12-19,21.343360900878906,22.69134692605919,21.26074619365502,22.05797319417969,20050,21.55166164493488,21.483032072162192
2006-12-20,21.620119094848633,23.393569374989912,21.34336275610368,21.34336275610368,41250,21.558181402069525,21.488408033836173
2006-12-21,22.36089324951172,22.747802988580116,20.199157038150112,21.62011965799768,85900,21.634630149444973,21.522623140333252
2006-12-22,22.181894302368164,23.104418840659076,22.030434226665466,22.36089042491756,31300,21.686750544961466,21.548476911393447
2006-12-26,22.583948135375977,23.349505343187737,22.5811932177385,23.349505343187737,29275,21.772197934524755,21.58908362605943
2006-12-27,21.649028778076172,22.718882181823478,21.649028778076172,22.05796987592067,17400,21.76046753867251,21.591434416334597
2006-12-28,22.74229621887207,23.13195825740159,21.617366471540226,23.13195825740159,76650,21.85397503202485,21.636566251728222
2006-12-29,22.033191680908203,22.718887911627377,21.341985613952993,21.341985613952993,19325,21.871043284299454,21.65212019012744
2007-01-02,22.718881607055664,22.82077152942414,21.483800158079138,21.483800158079138,36275,21.951789791228617,21.69395397118345
